,acc_x,acc_y,acc_z,ori_x,ori_y,ori_z,mag_x,mag_y,mag_z,labelCycling,labelBoxJump,labelSquats,labelSideLunges,labelLunges,labelSkipping
2019-06-19 00:02:02.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:02.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:02.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:03.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:03.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:03.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:03.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:04.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:04.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:04.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:04.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:05.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:05.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:05.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:05.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:06.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:06.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:06.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:06.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:07.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:07.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:07.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:07.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:08.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:08.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:08.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:08.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:09.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:09.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:09.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:09.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:10.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:10.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:10.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:10.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:11.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:11.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:11.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:11.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:12.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:12.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:12.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:12.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:13.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:13.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:13.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:13.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:14.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:14.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:14.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:14.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:15.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:15.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:15.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:15.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:16.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:16.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:16.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:16.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:17.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:17.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:17.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:17.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:18.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:18.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:18.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:18.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:19.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:19.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:19.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:19.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:20.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:20.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:20.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:20.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:21.067,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:21.317,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:21.567,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:21.817,,,,,,,,,,0,0,0,0,1,0
2019-06-19 00:02:22.067,,,,,,,,,,0,0,0,0,1,0
