,loggingTime(txt),x,y,z,label(N)
216,1.56113518742E+018,-25.6079864502,66.7322845459,-517.193847656,0
217,1.56113518746E+018,-25.6079864502,66.7322845459,-517.193847656,0
218,1.56113518749E+018,-25.8318481445,63.8963928223,-528.56628418,0
219,1.56113518752E+018,-25.8318481445,63.8963928223,-528.56628418,0
220,1.56113518757E+018,-25.9249420166,58.4571228027,-538.432495117,0
221,1.56113518759E+018,-25.1618499756,52.1718597412,-546.040649414,0
222,1.56113518762E+018,-25.1618499756,52.1718597412,-546.040649414,0
223,1.56113518766E+018,-22.1386260986,46.8235321045,-551.789306641,0
224,1.56113518769E+018,-22.1386260986,46.8235321045,-551.789306641,0
225,1.56113518773E+018,-17.3922576904,42.3104553223,-556.067749023,0
226,1.56113518776E+018,-17.3922576904,42.3104553223,-556.067749023,0
227,1.56113518781E+018,-14.3013763428,38.9284362793,-558.144042969,0
228,1.56113518783E+018,-11.4444732666,36.5131988525,-559.157775879,0
229,1.56113518786E+018,-11.4444732666,36.5131988525,-559.157775879,0
230,1.56113518789E+018,-9.18112182617,35.3458862305,-559.348266602,0
231,1.56113518793E+018,-9.18112182617,35.3458862305,-559.348266602,0
232,1.56113518798E+018,-6.88726806641,33.5074768066,-559.45111084,0
233,1.561135188E+018,-6.88726806641,33.5074768066,-559.45111084,0
234,1.56113518803E+018,-6.47534179688,30.6816558838,-560.097900391,0
235,1.56113518806E+018,-6.13665771484,31.2207946777,-560.102661133,0
236,1.5611351881E+018,-6.13665771484,31.2207946777,-560.102661133,0
237,1.56113518813E+018,-5.56549072266,31.8454589844,-560.106384277,0
238,1.56113518816E+018,-5.56549072266,31.8454589844,-560.106384277,0
239,1.56113518821E+018,-6.04284667969,34.8181610107,-559.385375977,0
240,1.56113518823E+018,-6.04284667969,34.8181610107,-559.385375977,0
241,1.56113518827E+018,-5.01754760742,38.7602844238,-558.20111084,0
242,1.5611351883E+018,-1.84735107422,43.1041564941,-556.384277344,0
243,1.56113518833E+018,-1.84735107422,43.1041564941,-556.384277344,0
244,1.56113518837E+018,1.3125,48.3524169922,-553.116027832,0
245,1.5611351884E+018,1.3125,48.3524169922,-553.116027832,0
246,1.56113518845E+018,3.39727783203,54.3836212158,-547.865600586,0
247,1.56113518847E+018,3.39727783203,54.3836212158,-547.865600586,0
248,1.5611351885E+018,6.16796875,58.276260376,-542.961181641,0
